1	10	0.004999999999999999
1	15	0.004999999999999999
1	20	0.004999999999999999
1	25	0.004999999999999999
1	30	0.004999999999999999
1	35	0.004999999999999999
1	40	0.004999999999999999
1	45	0.004999999999999999
1	50	0.004999999999999999

2	10	5.156374996193496E-4
2	15	4.998020591122244E-4
2	20	8.251896460662112E-4
2	25	0.001220492560419981
2	30	9.944879900841298E-4
2	35	9.096510426658724E-4
2	40	0.002167890274091228
2	45	0.0028233249589470944
2	50	0.002017273074829522

3	10	3.5144291538488705E-5
3	15	1.2762659836555268E-4
3	20	2.1754544133833201E-4
3	25	5.87757736199762E-4
3	30	8.83882229232499E-4
3	35	0.0026635934393941007
3	40	0.002480894162627516
3	45	0.0052929238884673515
3	50	0.005620684128242589

4	10	4.503716032879793E-6
4	15	5.895668208284825E-5
4	20	3.210462039801642E-4
4	25	9.625381704617457E-4
4	30	0.003207619444244405
4	35	0.004928253186699947
4	40	0.015919323721295946
4	45	0.019206306441971834
4	50	0.03919141648206266

5	10	8.089036510031073E-7
5	15	3.30741954367623E-5
5	20	4.2399134114121036E-4
5	25	0.003793080754165813
5	30	0.010902677592386459
5	35	0.052953803246920804
5	40	0.08163267942310107
5	45	0.1968367210005698
5	50	0.30200708223025574

6	10	2.943759147833331E-7
6	15	2.9432339195207077E-5
6	20	0.001755387436957169
6	25	0.009212700021323024
6	30	0.0885940856401668
6	35	0.2087475565328341
6	40	0.4707958258801631
6	45	0.7418608565815166
6	50	0.7517860422897494

7	10	5.0812177182752835E-7
7	15	6.373372768146375E-5
7	20	0.006018408720936798
7	25	0.05683971003249968
7	30	0.31767770823715763
7	35	0.6705957398479084
7	40	0.6591368964637521
7	45	0.7975420579005392
7	50	0.7971116771233387

8	10	4.0812177182E-7
8	15	3.213372768146375E-4
8	20	0.009011208720936798
8	25	0.09683971003249968
8	30	0.41767770843715763
8	35	0.6905957398479084
8	40	0.7191368964637521
8	45	0.7948420579005392
8	50	0.8071116771233387

9	10	3.0785195255E-7
9	15	8.913372768146375E-4
9	20	0.012011208720936798
9	25	0.12683971003249968
9	30	0.49768650843715763
9	35	0.7208557398479084
9	40	0.7591356964637521
9	45	0.8048620579005392
9	50	0.8275616771233387

10	10	8.0785195255E-6
10	15	9.913372768146375E-3
10	20	0.102011878720936798
10	25	0.21683971003249968
10	30	0.54767450843715763
10	35	0.7508558698479084
10	40	0.7991356964637521
10	45	0.8348686579005392
10	50	0.8505616771233387
